Area,Location,Price
950,Karachi,4200000
980,Karachi,4350000
1000,Karachi,4500000
1020,Karachi,4550000
1050,Karachi,4700000
1080,Karachi,4800000
1100,Karachi,4900000
1120,Karachi,5000000
1150,Karachi,5100000
1180,Karachi,5250000
1200,Karachi,5400000
1220,Karachi,5500000
1250,Karachi,5650000
1280,Karachi,5800000
1300,Karachi,5900000
1320,Karachi,6000000
1350,Karachi,6150000
1380,Karachi,6300000
1400,Karachi,6400000
1420,Karachi,6500000
1450,Karachi,6650000
1480,Karachi,6800000
1500,Karachi,6900000
1520,Karachi,7000000
1550,Karachi,7150000
1580,Karachi,7300000
1600,Karachi,7400000
1620,Karachi,7500000
1650,Karachi,7650000
1680,Karachi,7800000
1700,Karachi,7900000
1720,Karachi,8000000
1750,Karachi,8150000
1780,Karachi,8300000
1800,Karachi,8400000
1820,Karachi,8500000
1850,Karachi,8650000
1880,Karachi,8800000
1900,Karachi,8900000
1920,Karachi,9000000
1950,Karachi,9150000
1980,Karachi,9300000
2000,Karachi,9400000
2020,Karachi,9500000
2050,Karachi,9650000
2080,Karachi,9800000
2100,Karachi,9900000
2120,Karachi,10000000
2150,Karachi,10150000
2180,Karachi,10300000
2200,Karachi,10400000
2250,Lahore,10600000
2280,Lahore,10750000
2300,Lahore,10850000
2320,Lahore,10950000
2350,Lahore,11100000
2380,Lahore,11250000
2400,Lahore,11350000
2420,Lahore,11450000
2450,Lahore,11600000
2480,Lahore,11750000
2500,Lahore,11850000
2520,Lahore,11950000
2550,Lahore,12100000
2580,Lahore,12250000
2600,Lahore,12350000
2620,Lahore,12450000
2650,Lahore,12600000
2680,Lahore,12750000
2700,Lahore,12850000
2720,Lahore,12950000
2750,Lahore,13100000
2780,Lahore,13250000
2800,Lahore,13350000
2820,Lahore,13450000
2850,Lahore,13600000
2880,Lahore,13750000
2900,Lahore,13850000
2920,Lahore,13950000
2950,Lahore,14100000
2980,Lahore,14250000
3000,Lahore,14350000
3020,Lahore,14450000
3050,Lahore,14600000
3080,Lahore,14750000
3100,Lahore,14850000
3120,Lahore,14950000
3150,Lahore,15100000
3180,Lahore,15250000
3200,Lahore,15350000
3220,Lahore,15450000
3250,Lahore,15600000
3280,Lahore,15750000
3300,Lahore,15850000
3320,Lahore,15950000
3350,Lahore,16100000
3380,Lahore,16250000
3400,Lahore,16350000
3420,Lahore,16450000
3450,Lahore,16600000
3480,Lahore,16750000
3500,Lahore,16850000
3520,Lahore,16950000
3550,Islamabad,17100000
3580,Islamabad,17250000
3600,Islamabad,17350000
3620,Islamabad,17450000
3650,Islamabad,17600000
3680,Islamabad,17750000
3700,Islamabad,17850000
3720,Islamabad,17950000
3750,Islamabad,18100000
3780,Islamabad,18250000
3800,Islamabad,18350000
3820,Islamabad,18450000
3850,Islamabad,18600000
3880,Islamabad,18750000
3900,Islamabad,18850000
3920,Islamabad,18950000
3950,Islamabad,19100000
3980,Islamabad,19250000
4000,Islamabad,19350000
4020,Islamabad,19450000
4050,Islamabad,19600000
4080,Islamabad,19750000
4100,Islamabad,19850000
4120,Islamabad,19950000
4150,Islamabad,20100000
4180,Islamabad,20250000
4200,Islamabad,20350000
4220,Islamabad,20450000
4250,Islamabad,20600000
4280,Islamabad,20750000
4300,Islamabad,20850000
4320,Islamabad,20950000
4350,Islamabad,21100000
4380,Islamabad,21250000
4400,Islamabad,21350000
4420,Islamabad,21450000
4450,Islamabad,21600000
4480,Islamabad,21750000
4500,Islamabad,21850000
4520,Islamabad,21950000
4550,Islamabad,22100000
4580,Islamabad,22250000
4600,Islamabad,22350000
4620,Islamabad,22450000
4650,Islamabad,22600000
4680,Islamabad,22750000
4700,Islamabad,22850000
4720,Islamabad,22950000
4750,Islamabad,23100000
4780,Islamabad,23250000
4800,Islamabad,23350000
4820,Islamabad,23450000
